library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
800000000,Commercial and Industrial Property Tax Reform Act 2024,primary_legislation,,004,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/commercial-and-industrial-property-tax-reform-act-2024/,2025-12-27T04:38:54.044684Z,2025-12-27T04:38:55.147690Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-11/24-16a004.docx
800000001,Commonwealth Places (Mirror Taxes Administration) Act 1999,primary_legislation,,012,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/commonwealth-places-mirror-taxes-administration-act-1999/,2025-12-27T04:38:55.148485Z,2025-12-27T04:38:56.595431Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/d2ba1c88-c1a3-3247-8db8-40117670b1f5_99-34a012.docx
800000002,Duties Act 2000,primary_legislation,,140,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/duties-act-2000/,2025-12-27T04:38:56.596186Z,2025-12-27T04:38:58.378475Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-11/00-79a140.docx
800000003,First Home Owner Grant and Home Buyer Schemes Act 2000,primary_legislation,,053,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/first-home-owner-grant-and-home-buyer-schemes-act-2000/,2025-12-27T04:38:58.379190Z,2025-12-27T04:38:59.627919Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-11/00-5a053.docx
800000004,First Home Owner Grant and Home Buyer Schemes Act 2000,primary_legislation,,053,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/first-home-owner-grant-and-home-buyer-schemes-act-2000/,2025-12-27T04:38:59.628684Z,2025-12-27T04:39:01.136945Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-11/00-5a053.docx
800000005,Gambling Taxation Act 2023,primary_legislation,,003,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/gambling-taxation-act-2023/,2025-12-27T04:39:01.137624Z,2025-12-27T04:39:02.614657Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2024-06/23-14a003.docx
800000006,Interpretation Of Legislation Act 1984,primary_legislation,,133,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/interpretation-legislation-act-1984/,2025-12-27T04:39:02.615344Z,2025-12-27T04:39:04.143124Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-12/84-10096a133.docx
800000007,Interpretation of Legislation Act 1984,primary_legislation,,133,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/interpretation-legislation-act-1984/,2025-12-27T04:39:04.143808Z,2025-12-27T04:39:05.642676Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-12/84-10096a133.docx
800000008,Land Tax Act 2005,primary_legislation,,084,victoria,victoria_legislation,https://www.legislation.vic.gov.au/in-force/acts/land-tax-act-2005/,2025-12-27T04:39:05.643456Z,2025-12-27T04:39:07.258914Z,ok,,,,,docx,https://content.legislation.vic.gov.au/sites/default/files/2025-11/05-88a084.docx
800000009,Land Tax Regulations 2005,secondary_legislation,,sha256:8cfd0c135bf281026bd242891f36c9dd3acf0e858d04ce06cb14d9cd784c0ef0,victoria,victoria_legislation,https://www.legislation.vic.gov.au/as-made/statutory-rules/land-tax-regulations-2005,2025-12-27T04:39:07.259605Z,2025-12-27T04:39:08.630013Z,ok,,,,,pdf,https://content.legislation.vic.gov.au/sites/default/files/37d0cdb2-19dc-39d3-b323-64110b6b6242_05-178sr.pdf
