library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
100000000,Duties Act 1999,primary_legislation,,R79|2025-12-16,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1999-7/,2025-12-27T05:16:31.675249Z,2025-12-27T05:16:32.586694Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/1999-7/current/DOCX/1999-7.DOCX
100000001,First Home Owner Grant Act 2000,primary_legislation,,R37|2025-11-16,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2000-23/,2025-12-27T05:16:32.587460Z,2025-12-27T05:16:33.493887Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2000-23/current/DOCX/2000-23.DOCX
100000002,Gambling and Racing Control Act 1999,primary_legislation,,R35|2025-12-16,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1999-46/,2025-12-27T05:16:33.494536Z,2025-12-27T05:16:34.484270Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/1999-46/current/DOCX/1999-46.DOCX
100000003,Gaming Machine Act 2004,primary_legislation,,R64|2025-12-16,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2004-34/,2025-12-27T05:16:34.485075Z,2025-12-27T05:16:35.972373Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2004-34/current/DOCX/2004-34.DOCX
100000004,Land Tax Act 2004,primary_legislation,,R34|2025-12-26,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2004-4/,2025-12-27T05:16:35.973165Z,2025-12-27T05:16:36.824113Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2004-4/current/DOCX/2004-4.DOCX
100000005,Partnership Act 1963,primary_legislation,,R11|2025-11-26,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1963-5/,2025-12-27T05:16:36.824906Z,2025-12-27T05:16:37.829071Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/1963-5/current/DOCX/1963-5.DOCX
100000006,Payroll Tax Act 1987,primary_legislation,,R20|2025-12-26,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2011-18/,2025-12-27T05:16:37.829763Z,2025-12-27T05:16:38.871744Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2011-18/current/DOCX/2011-18.DOCX
100000007,Perpetuities and Accumulations Act 1985,primary_legislation,,R7|2017-05-01,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1985-65/,2025-12-27T05:16:38.872390Z,2025-12-27T05:16:40.102848Z,ok,,,,,rtf,https://www.legislation.act.gov.au/DownloadFile/a/1985-65/current/RTF/1985-65.RTF
100000008,Taxation (Government Business Enterprises) Act 2003,primary_legislation,,R3|2025-11-26,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2003-12/,2025-12-27T05:16:40.103676Z,2025-12-27T05:16:40.785686Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2003-12/current/DOCX/2003-12.DOCX
100000009,Taxation (Government Business Enterprises) Regulation 2003,secondary_legislation,,R24|2021-03-30,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/sl/2003-10/,2025-12-27T05:16:40.786550Z,2025-12-27T05:16:41.789886Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/sl/2003-10/current/DOCX/2003-10.DOCX
100000010,Taxation Administration Act 1999,primary_legislation,,R52|2025-11-26,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1999-4/,2025-12-27T05:16:41.790771Z,2025-12-27T05:16:42.925273Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/1999-4/current/DOCX/1999-4.DOCX
100000011,Taxation Administration Regulation 2004,secondary_legislation,,R11|2024-09-13,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/sl/2004-62/,2025-12-27T05:16:42.926083Z,2025-12-27T05:16:43.836016Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/sl/2004-62/current/DOCX/2004-62.DOCX
100000012,Territory Superannuation Provision Protection Act 2000,primary_legislation,,R5|2019-11-14,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/2000-21/,2025-12-27T05:16:43.836797Z,2025-12-27T05:16:44.840532Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/2000-21/current/DOCX/2000-21.DOCX
100000013,Trustee Act 1925,primary_legislation,,R22|2023-12-12,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1925-14/,2025-12-27T05:16:44.841318Z,2025-12-27T05:16:45.895958Z,ok,,,,,docx,https://www.legislation.act.gov.au/DownloadFile/a/1925-14/current/DOCX/1925-14.DOCX
100000014,Trustee Companies Act 1947,primary_legislation,,R14|2015-10-14,australian_capital_territory,australian_capital_territory_legislation,https://www.legislation.act.gov.au/a/1947-15/,2025-12-27T05:16:45.896826Z,2025-12-27T05:16:47.227229Z,ok,,,,,rtf,https://www.legislation.act.gov.au/DownloadFile/a/1947-15/current/RTF/1947-15.RTF
